Axis,Extreme1,Extreme2
Accessibility,Low Accessibility,High Accessibility
Speed,Slow,Fast
Image Quality,Low Resolution,High Resolution
Usability,Complex,Simple
Portability,Immobile,Portable
Integration,Non-Integrative,Fully Integrative
Cost Efficiency,Expensive,Affordable
Scalability,Non-scalable,Scalable
Innovativeness,Conventional,Innovative
Energy Efficiency,High Energy Consumption,Low Energy Consumption
Maintenance Simplicity,Complex Maintenance,Simple Maintenance
Training and Support,Limited Support,Extensive Support
Adaptability,Non-Adaptable,Highly Adaptable
Safety,Unsafe,Safe
