Code,Description of Service,Average Fee,"Standard
Deviation
$","10th
$","25th
$","Median
50th
$","75th
$","80th
$","85th
$","90th
$","95th
$","Number of
Responses"
D0120,"periodic oral evaluation - established
patient",52.73,17.94,33,40,50,65,69,70,79,85,81
D0140,limited oral evaluation - problem focused,70.79,26.07,40,55,67,83,88,98,105,125,79
D0145,"oral evaluation for a patient under three
years of age and counseling with primary
caregiver",64.3,28.85,35,40,60,80,90,96,123,125,37
D0150,"comprehensive oral evaluation - new or
established patient",83.46,30,45,60,79,100,114,120,123,145,81
D0160,"detailed and extensive oral evaluation -problem focused, by report",123.42,61.6,60,67,120,173,175,186,199,222,49
D0170,"re-evaluation - limited, problem focused
(established patient; not post-operative
visit)",67.37,28.81,40,44,66,80,91,100,100,125,49
D0171,re-evaluation – post-operative office visit,18.58,29.75,0,0,0,40,44,44,65,89,38
D0180,comprehensive periodontal evaluation -new or established patient,102.2,25.89,75,80,100,125,125,125,135,139,47
D0210,"intraoral - complete series of radiographic
images",142.02,32.49,100,115,133,165,175,179,190,200,76
D0220,"intraoral - periapical first radiographic
image",27.68,8.44,16,22,26,32,35,35,39,45,83
D0230,"intraoral - periapical each additional
radiographic image",21.91,7.33,15,16,20,27,29,30,30,34,81
D0272,bitewings - two radiographic images,47.22,10.91,35,40,45,52,55,55,60,70,70
D0273,bitewings - three radiographic images,56.58,13.51,40,45,56,63,65,66,75,82,45
D0274,bitewings - four radiographic images,68.8,15.25,50,57,66,79,80,85,86,100,70
D0277,"vertical bitewings - 7 to 8 radiographic
images",96.87,19.86,70,80,100,110,110,124,126,127,31
D0330,panoramic radiographic image,127.66,28.79,95,100,125,144,150,158,175,190,47
D0470,diagnostic casts,121.65,41.21,75,100,115,136,150,156,195,200,57
D1110,prophylaxis - adult,98.01,26.58,67,75,92,116,125,130,137,148,81
D1120,prophylaxis - child,76.3,20.33,55,60,74,85,88,99,110,120,81
D1206,topical application of fluoride varnish,45.58,15.67,29,30,45,52,56,60,65,75,67
D1208,"topical application of fluoride – excluding
varnish",42.75,14.21,25,30,44,51,52,55,65,75,54
D1330,oral hygiene instructions,26.06,27.19,0,0,30,47,59,59,62,65,44
D1351,sealant - per tooth,57.18,16.58,40,43,55,67,71,75,75,95,72
D1510,"space maintainer - fixed, unilateral – per
quadrant",315.09,72.3,250,250,300,375,375,406,422,440,34
D2140,"amalgam - one surface, primary or
permanent",136.34,38.89,92,100,125,160,168,188,200,200,62
D2150,"amalgam - two surfaces, primary or
permanent",172.19,47.85,120,130,167,200,212,225,250,250,63
D2160,"amalgam - three surfaces, primary or
permanent",210.67,60.33,145,155,200,253,265,271,295,302,66
D2161,"amalgam - four or more surfaces, primary
or permanent",248.29,73.07,168,180,250,297,300,325,350,350,64
D2330,"resin-based composite - one surface,
anterior",166.35,42.52,119,125,167,200,200,200,215,235,74
D2331,"resin-based composite - two surfaces,
anterior",201.97,47.58,146,168,199,229,238,250,255,293,76
D2332,"resin-based composite - three surfaces,
anterior",252.66,61.17,170,208,250,295,300,300,313,380,75
D2335,"resin-based composite - four or more
surfaces or involving incisal angle
(anterior)",298.47,81.72,190,247,290,350,350,373,400,440,74
D2390,"resin-based composite crown, anterior",402.8,147.59,222,281,400,499,555,600,600,600,35
D2391,"resin-based composite - one surface,
posterior",183.79,40.89,135,150,184,210,221,225,225,254,71
D2392,"resin-based composite - two surfaces,
posterior",228.91,48.04,177,190,225,250,260,272,290,323,72
D2393,"resin-based composite - three surfaces,
posterior",286.51,62.28,214,235,283,320,325,360,370,391,69
D2394,"resin-based composite - four or more
surfaces, posterior",335.84,76.52,248,274,342,385,405,410,425,457,66
D2620,inlay - porcelain/ceramic - two surfaces,"1,003.20",307.57,630,700,989,"1,200","1,250","1,300","1,440","1,645",32
D2642,onlay - porcelain/ceramic - two surfaces,"1,068.52",255.46,750,880,995,"1,200","1,325","1,460","1,467","1,500",36
D2643,onlay - porcelain/ceramic - three surfaces,"1,130.75",229.07,840,981,"1,133","1,259","1,335","1,460","1,467","1,571",39
